radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,1,19668,11546,0,-3.73811,40.256661,4210,2,1,1335024238,1334892236,0
UMTS,214,7,2860,139496359,0,-3.762818,40.257889,1787,10,1,1352829747,1410192382,0
UMTS,214,7,2860,139493171,0,-3.760941,40.260452,1000,15,1,1352829747,1467523099,0
UMTS,214,7,2860,139493175,0,-3.752824,40.271225,4589,18,1,1352829747,1467523058,0
UMTS,214,7,2860,139493169,0,-3.753695,40.263814,1077,7,1,1352829747,1467523099,0
UMTS,214,7,2860,139478870,0,-3.755264,40.268784,1000,3,1,1352829747,1467523099,0
UMTS,214,7,2860,139493170,0,-3.755539,40.268326,1000,5,1,1352829747,1460980110,0
GSM,214,1,16070,21418,0,-3.771189,40.271864,7567,6,1,1355523337,1505843831,0
UMTS,214,1,16070,8523613,0,-3.764328,40.25679,1284,5,1,1357660943,1473814977,0
UMTS,214,7,2863,73984120,0,-3.768425,40.27668,1421,12,1,1364306264,1431698923,0
UMTS,214,3,1156,7228209,0,-3.771515,40.276108,1189,6,1,1362255016,1484763151,0
UMTS,214,3,1156,7228374,0,-3.764787,40.274627,1646,8,1,1365885436,1506370164,0
UMTS,214,1,17166,8533158,0,-3.740845,40.274506,1000,2,1,1380988368,1380968629,0
UMTS,214,4,21605,10769506,0,-3.756638,40.265808,1000,6,1,1382384900,1454770158,0
UMTS,214,4,21605,10769635,0,-3.759842,40.266037,1000,3,1,1382384964,1454770164,0
UMTS,214,4,21605,10769636,0,-3.763847,40.25631,1000,4,1,1382385024,1454770158,0
UMTS,214,4,21605,10770915,0,-3.765564,40.264206,1376,2,1,1382385146,1442983761,0
UMTS,214,7,2860,139501730,0,-3.754872,40.26983,1000,21,1,1382804200,1462495712,0
UMTS,214,7,2860,139521859,0,-3.766251,40.253906,1000,4,1,1382804261,1400470555,0
UMTS,214,1,19668,8119258,0,-3.75554,40.263932,1155,5,1,1383218328,1478879441,0
UMTS,214,1,16070,50594049,0,-3.7511444091797,40.273818969727,1000,1,1,1383218387,1383198587,0
GSM,214,1,16070,11717,0,-3.749888,40.276543,1679,20,1,1385708249,1514024778,0
UMTS,214,7,2860,2867199,0,-3.755722,40.268326,1000,3,1,1385985837,1385979148,0
UMTS,214,7,2860,2867200,0,-3.763161,40.25528,1226,4,1,1385985914,1386562663,0
UMTS,214,7,2863,3007410,0,-3.7525177001953,40.273818969727,1000,1,1,1385998939,1385979139,0
UMTS,214,7,2860,3007417,0,-3.760071,40.262146,1000,2,1,1385999002,1385979207,0
UMTS,214,7,2863,3010172,0,-3.7511444091797,40.275192260742,1000,1,1,1386065367,1386045567,0
UMTS,214,7,2863,3010173,0,-3.7566375732422,40.266952514648,1000,1,1,1386065391,1386045591,0
UMTS,214,7,2860,3010176,0,-3.7607574462891,40.261459350586,1000,1,1,1386065412,1386045612,0
UMTS,214,7,2863,3017635,0,-3.752863,40.270043,3243,4,1,1386235575,1386216201,0
UMTS,214,7,2805,3032055,0,-3.7511444091797,40.275192260742,1000,1,1,1386582770,1386562970,0
UMTS,214,7,2863,3036705,0,-3.752518,40.276566,1000,2,1,1386690938,1386671181,0
UMTS,214,7,2860,3036708,0,-3.767624,40.254135,1000,3,1,1386691032,1386671293,0
UMTS,214,1,274,3039512,0,-3.758945,40.26375,14878,6,1,1386762877,1386743377,0
GSM,214,7,2822,5561,0,-3.7648773193359,40.254592895508,1000,1,1,1397186702,1397166903,0
GSM,214,3,1156,19468,0,-3.7525177001953,40.271072387695,1000,1,1,1397302210,1397289091,0
UMTS,214,7,2863,73961751,0,-3.7635040283203,40.276565551758,1000,1,1,1458599678,1428144673,0
UMTS,214,7,2860,73957450,0,-3.7497711181641,40.276565551758,1000,1,1,1458943713,1421931869,0
UMTS,214,7,2860,139474830,0,-3.7635040283203,40.258712768555,1000,2,1,1458943716,1465862111,0
UMTS,214,7,2860,139478871,0,-3.7621307373047,40.26969909668,1000,1,1,1458943717,1454886063,0
UMTS,214,7,2860,139522030,0,-3.7429046630859,40.268325805664,1000,1,1,1458943719,1458231022,0
UMTS,214,7,2860,139463421,0,-3.751419,40.263931,1000,5,1,1458943716,1466119781,0
UMTS,214,7,2860,139521769,0,-3.7442779541016,40.264205932617,1000,1,1,1458943719,1450504880,0
UMTS,214,7,2860,139521771,0,-3.7470245361328,40.258712768555,1000,1,1,1458943719,1456320316,0
UMTS,214,7,2860,139485830,0,-3.7497711181641,40.26008605957,1000,2,1,1458943718,1462495712,0
UMTS,214,7,2863,139522031,0,-3.757324,40.266953,1000,2,1,1398512502,1398492703,0
UMTS,214,7,28630,71800606,0,-3.77504,40.274919,2647,5,1,1400737898,1400718325,0
UMTS,214,3,1158,7492925,0,-3.760758,40.260773,1000,2,1,1416686877,1436748508,0
GSM,214,7,2822,5193,0,-3.759384,40.266495,1076,6,1,1421849856,1461843769,0
GSM,214,7,2822,5014,0,-3.751831,40.273647,1000,8,1,1421849989,1463656086,0
GSM,214,7,2822,5192,0,-3.757462,40.265579,1000,5,1,1422090112,1463656086,0
GSM,214,7,2805,5463,0,-3.759727,40.271072,1225,4,1,1422090112,1458030863,0
GSM,214,7,2805,5372,0,-3.739472,40.258029,2041,2,1,1422102699,1458187667,0
GSM,214,7,2822,5191,0,-3.753891,40.270615,1129,3,1,1422102951,1457634779,0
