radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,7,2816,3573,0,-3.703964,40.427261,1000,45,1,1290335647,1491578109,0
GSM,214,7,2816,3576,0,-3.703177,40.426549,1000,14,1,1290966183,1482844731,0
GSM,214,7,2816,2015,0,-3.696899,40.42757,1000,24,1,1290966278,1433299023,0
GSM,214,7,2816,73,0,-3.695779,40.427266,1000,19,1,1290966385,1488990206,0
UMTS,214,1,12967,8265625,0,-3.6563873291016,40.431747436523,1000,2,1,1292116270,1291037900,0
UMTS,214,1,13781,8262636,0,-3.662212,40.407414,1000,43,1,1292116270,1505633109,0
UMTS,214,1,13781,8289813,0,-3.662183,40.407028,1000,59,1,1292116325,1490170342,0
UMTS,214,1,12967,8261353,0,-3.690308,40.434219,1000,10,1,1293075618,1490752113,0
UMTS,214,1,12967,8261354,0,-3.690191,40.431431,1000,13,1,1293075633,1490752113,0
UMTS,214,1,12967,8262586,0,-3.689346,40.430797,1000,13,1,1293075661,1485256289,0
UMTS,214,1,12967,8262651,0,-3.689346,40.428127,1000,11,1,1293075679,1481094147,0
UMTS,214,1,12967,8260464,0,-3.688786,40.427207,1000,49,1,1293075688,1490781880,0
UMTS,214,1,12967,8262515,0,-3.687973,40.429688,1000,4,1,1293075801,1460383853,0
UMTS,214,1,12967,8261320,0,-3.687973,40.428543,1000,3,1,1293075809,1465391712,0
LTE,214,1,269,72218889,0,-3.698135,40.460037,1000,5,1,1458912477,1480679262,0
GSM,214,1,13781,12922,0,-3.681793,40.387116,1000,2,1,1320940101,1322709361,0
GSM,214,1,13781,63928,0,-3.6783599853516,40.390548706055,1000,1,1,1320940101,1320808967,0
GSM,214,1,13781,12923,0,-3.6673736572266,40.40153503418,1000,1,1,1320940101,1320809028,0
GSM,214,1,13781,14917,0,-3.6605072021484,40.415267944336,1000,1,1,1320940101,1320809087,0
GSM,214,1,13781,302,0,-3.660507,40.422134,1000,2,1,1320940101,1320809148,0
GSM,214,1,13781,10308,0,-3.6605072021484,40.415267944336,1000,1,1,1320940101,1320809087,0
GSM,214,1,13781,18895,0,-3.6605072021484,40.415267944336,1000,1,1,1320940101,1320809087,0
GSM,214,1,13781,301,0,-3.66188,40.435867,2294,2,1,1320940101,1320809268,0
