radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,214,3,18101,255686703,0,-1.071396,39.139481,1000,6,1,1365198199,1365178698,0
GSM,214,7,4603,1211,0,-1.065353,39.228104,1000,15,1,1366149886,1468772605,0
GSM,214,3,18101,5458,0,-1.0732269287109,39.138107299805,1000,2,1,1374265444,1374245704,0
GSM,214,3,18101,10620,0,-1.0581207275391,39.062576293945,1000,3,1,1376149208,1376129591,0
GSM,214,3,18101,10622,0,-1.0581207275391,39.062576293945,1000,1,1,1376149878,1376130078,0
UMTS,214,3,38002,21286352,0,-0.94139099121094,39.241104125977,1000,1,1,1376850597,1376830797,0
GSM,214,1,38806,63011,0,-1.0732269287109,39.13948059082,1000,5,1,1429650916,1429631351,0
UMTS,214,1,38806,21233777,0,-1.0608673095703,39.06120300293,1000,5,1,1440314920,1440295710,0
UMTS,214,1,38806,21249856,0,-1.067734,39.215698,1000,2,1,1458641025,1461891906,0
UMTS,214,1,38806,21297246,0,-1.059494,39.114075,1000,4,1,1458641027,1481864329,0
UMTS,214,1,38806,21283580,0,-1.061019,39.126053,2603,9,1,1458641026,1488691643,0
UMTS,214,7,4660,42339967,0,-1.0951995849609,39.219131469727,1000,1,1,1458825345,1445703089,0
UMTS,214,7,4660,42383237,0,-1.0649871826172,39.228744506836,1000,1,1,1458825348,1445565743,0
UMTS,214,7,4603,42384157,0,-1.0883331298828,39.235610961914,1000,1,1,1458825340,1445565743,0
UMTS,214,7,4660,42384157,0,-1.0828399658203,39.23698425293,1000,1,1,1458825348,1445565743,0
UMTS,214,7,4661,48893790,0,-1.0553741455078,39.062576293945,1000,1,1,1458825360,1429511710,0
UMTS,214,7,4661,48893787,0,-1.0567474365234,39.06120300293,1000,1,1,1458825360,1429511710,0
UMTS,214,7,4661,48893788,0,-1.0594940185547,39.059829711914,1000,1,1,1458825360,1426335024,0
UMTS,214,7,4661,48896017,0,-1.0581207275391,39.058456420898,1000,1,1,1458825362,1442770566,0
UMTS,214,7,4661,48893791,0,-1.0567474365234,39.06120300293,1000,1,1,1458825360,1429511710,0
UMTS,214,7,260,6705039,0,-1.1171722412109,39.076309204102,1000,1,1,1458867469,1442770566,0
GSM,214,7,4603,861,0,-1.078995,39.237396,2856,10,1,1458926923,1489031497,0
GSM,214,7,4603,2691,0,-1.080322,39.243622,1127,6,1,1458926924,1492385331,0
GSM,214,7,4603,8973,0,-1.084763,39.236435,1000,5,1,1458926925,1492385331,0
UMTS,214,7,4661,48933787,0,-1.056061,39.062576,1000,2,1,1458945244,1474624224,0
UMTS,214,1,38806,21252024,0,-1.074326,39.22847,1000,5,1,1461913593,1474366512,0
UMTS,214,1,38806,21283392,0,-1.068597,39.208925,6837,9,1,1461913593,1492540200,0
UMTS,214,1,38806,21252026,0,-1.084213,39.244766,1000,3,1,1461913593,1473943286,0
UMTS,214,3,18104,255752242,0,-1.0237884521484,39.037857055664,1000,1,1,1467750750,1467726534,0
UMTS,214,7,4660,75107970,0,-1.0746002197266,39.199905395508,1000,1,1,1468793299,1468772611,0
UMTS,214,7,4660,75107967,0,-1.0704803466797,39.19303894043,1000,2,1,1468793299,1491307121,0
UMTS,214,7,4660,42343047,0,-1.0746002197266,39.199905395508,1000,1,1,1468793299,1468772611,0
UMTS,214,7,4660,42343050,0,-1.0759735107422,39.241104125977,1000,1,1,1468793299,1468772611,0
UMTS,214,1,38806,21250481,0,-1.0526275634766,39.077682495117,1000,1,1,1470445077,1470408897,0
UMTS,214,1,38806,21260135,0,-1.0643,39.081803,1000,4,1,1470445077,1486369040,0
UMTS,214,1,38806,21250483,0,-1.057434,39.078369,1000,2,1,1470445077,1473600970,0
LTE,214,1,2848,118707475,0,-0.93315124511719,39.24934387207,1000,1,1,1473026809,1473003011,0
UMTS,214,1,38806,21252025,0,-1.089249,39.234238,1000,6,1,1473821329,1474366512,0
GSM,214,7,4603,5281,0,-1.0718536376953,39.09553527832,1000,13,1,1474585791,1489031497,0
UMTS,214,7,4661,48937767,0,-1.075974,39.095535,1067,8,1,1474546014,1474851920,0
GSM,214,7,4603,862,0,-1.071579,39.095261,1000,10,1,1474585791,1491307121,0
UMTS,214,7,4661,48937768,0,-1.087647,39.091416,1438,2,1,1474647976,1474810517,0
UMTS,214,7,4660,75151118,0,-1.0718536376953,39.09553527832,1000,1,1,1474797986,1474777207,0
UMTS,214,1,38806,48937767,0,-1.1199188232422,39.088668823242,1000,1,1,1474834154,1474810517,0
UMTS,214,3,18104,255755221,0,-1.1185455322266,39.092788696289,1000,1,1,1474834155,1474810517,0
UMTS,214,3,18112,21272462,0,-1.0581207275391,39.059829711914,1000,1,1,1475814470,1475790285,0
UMTS,214,1,38806,21236770,0,-1.0746002197266,39.186172485352,1000,1,1,1481897235,1481864329,0
UMTS,214,7,4661,48896019,0,-1.0498809814453,39.046096801758,1000,1,1,1481987257,1481965618,0
UMTS,214,1,18104,5210,0,-1.0251617431641,39.110641479492,1000,1,1,1485119209,1485096039,0
UMTS,214,1,37003,21283392,0,-1.1309051513672,39.11750793457,1000,1,1,1486449469,1486369040,0
UMTS,214,7,4661,81705767,0,-1.0718536376953,39.09553527832,1000,2,1,1488859016,1489031497,0
UMTS,214,7,4661,81707157,0,-1.0512542724609,39.054336547852,1000,1,1,1489055181,1489031497,0
GSM,214,7,4603,751,0,-1.056061,39.064636,1000,2,1,1489281020,1491307121,0
UMTS,214,7,4660,75147967,0,-1.0759735107422,39.16145324707,1000,1,1,1491363533,1491307121,0
UMTS,214,7,4661,81664017,0,-1.0498809814453,39.05158996582,1000,1,1,1491363533,1491307121,0
UMTS,214,7,4661,81705768,0,-1.0498809814453,39.05158996582,1000,1,1,1491363533,1491307121,0
LTE,214,7,46601,117993995,0,-1.0746002197266,39.140853881836,1000,1,1,1491363800,1491307162,0
LTE,214,7,46611,118012939,0,-1.0567474365234,39.06120300293,1000,3,1,1489281090,1491307162,0
LTE,214,7,46601,117932063,0,-1.0828399658203,39.22737121582,1000,1,1,1491363800,1491307162,0
